CID,Name,B3LYPLUMO,SMILES,Minimum Adsorption energy (100),Minimum Adsorption energy (110),Minimum Adsorption energy (111),Optimization score,e_above_hull (eV)
57527008,H6C10N3O3F1,-2.86352467,C1=CC(=C(C=C1[N+](=O)[O-])F)N2C=C(N=C2)C=O,-1.485278607,-1.751405594,-1.214637508,-2.173649287,
5374613,C2Br1Cl1F2,-0.065474868,C(=C(/F)\Br)(\F)/Cl,-4.701733289,-3.391413204,-4.749087755,-2.173109809,
138453,H9C5N3O6,-2.623586368,CC(C)(C(C)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],-2.643167172,-1.098687708,-1.419341224,-2.171992535,
579992,H4C2S3,-0.563808683,C1CSSS1,-3.813262472,-2.514017844,-4.987905436,-2.167768633,
31297,H3C1S1Cl1O2,-1.833636506,CS(=O)(=O)Cl,-2.681525337,-1.594496845,-3.217132104,-2.165677301,
123328,P1Cl2O1F1,-1.457118106,O=P(F)(Cl)Cl,-2.709649915,-1.827551325,-4.036015121,-2.157428446,
582056,B1C18F15,-2.855037444,FC1C(=C(C(=C(C=1B(C1C(=C(C(=C(C=1F)F)F)F)F)C1C(=C(C(=C(C=1F)F)F)F)F)F)F)F)F,-2.533579737,-1.194009612,-0.649321119,-2.1570038,
7222356,H2C5Cl2O2,-2.490697441,C1=C(C(=C(C1=O)Cl)Cl)O,-2.353090483,-1.291478517,-1.82482885,-2.156915029,
69990123,H8C9N2O6,-2.361501042,CC(=O)C1=CC(=NC=C1CO[N+](=O)[O-])C(=O)O,-1.444599944,-2.42373769,-1.985098006,-2.156323128,
71772434,H4C1S2N2O2,0.388562185,C(=O)(NS)ONS,-4.599762854,-3.769326078,-5.706516716,-2.151653182,
56615611,H12C6O4,1.152672496,C1CCC(CC1)(O)OOO,-5.224096144,-5.882398192,-5.248630834,-2.149517947,
74892623,H4C7N2O3,-2.210154905,C#CC1=CC(=O)NC=C1[N+](=O)[O-],-2.145813592,-1.972741026,-2.125959067,-2.145829733,
10082642,H1C5F9,1.02347474,C1(C(C(C1(F)F)(F)F)(F)F)C(F)(F)F,-5.225731588,-5.188171621,-5.510876714,-2.142392617,
21329457,H4C3S1N2O1,-1.457118106,CC1=NONC1=S,-2.30922777,-1.899659707,-4.270500887,-2.141790447,
12653372,C3N1Cl1F2,-0.91079636,C(#N)C(=C(F)F)Cl,-3.537207668,-2.839357578,-3.741616787,-2.141761852,
17906083,H5C7O1F7,0.528833453,CCOC1=C(C(C(C1(F)F)(F)F)(F)F)F,-5.074922152,-4.561639744,-4.789936817,-2.139999726,
14510505,C4F8,0.879512301,C1(C(C1(F)F)(F)F)(C(F)(F)F)F,-6.131603728,-4.406354822,-4.932466221,-2.138647978,
518819,H1Cl1O1,-1.590007033,[2H]OCl,-2.722469338,-1.848002125,-3.48247101,-2.137160595,
18614784,C3N2F4,-0.549044,C1(=C(N(N=C1F)F)F)F,-4.417163563,-2.583723806,-4.167365003,-2.135897395,
139590,H1Cl1O1,-1.590007033,[1H]OCl,-2.723294296,-1.847582597,-3.463440944,-2.134056489,
22997091,H4C8N2,-2.475932759,C1=CC2=NC3=CN=C2C=C31,-1.557950951,-1.808367749,-1.972997841,-2.12785247,
54514631,H4C2S1N1Cl1O1,-1.460809277,C(NC=O)SCl,-3.027429053,-1.868293135,-3.483234141,-2.12689736,
10750352,H3C4S1Br1O2,-1.770882535,C1C(C(=O)SC1=O)Br,-2.263324369,-1.890553462,-3.290644733,-2.126195028,
12585099,C4F6,-0.752067882,C1(=C(F)F)C(C1(F)F)(F)F,-4.141248666,-3.10716756,-3.227138961,-2.121959806,
9813150,H5C7S1N1F4,-1.11751277,CCN1C(=C(C(=S)C(=C1F)F)F)F,-3.360249213,-3.517783331,-2.499526971,-2.121682971,
13696433,C4Cl1F7,0.263055599,C(=C(F)F)(C(C(F)(F)F)(F)F)Cl,-4.407893632,-5.242071219,-3.865885688,-2.121113957,
5558,H1C1Br3,-1.815179296,C(Br)(Br)Br,-2.289255087,-1.802346275,-3.189373924,-2.121085529,
15688516,H2C7N1F5,-0.903414019,C=NC1=C(C(=C(C(=C1F)F)F)F)F,-3.443665317,-3.788176502,-2.780610685,-2.120449093,
6837241,H6C10S1O4,-2.27659869,C1=CC=C2C(=C1)C(=C(C(=O)O)S)OC2=O,-2.170214096,-1.962015893,-1.726456268,-2.114747055,
19994020,C8N2O2F4,-0.678240399,C(=NC1=C(C(=C(C(=C1F)F)F)F)N=C=O)=O,-3.456525747,-4.623142682,-2.573847092,-2.11470612,
67915356,H6C10S1N2,-2.320895452,C1=CC=C2C(=C1)N=CC=C(S2)C#N,-2.133095479,-1.748519481,-1.842128208,-2.114404921,
279250,H2C4N2O4,-3.199438836,C1(=O)C(=O)NC(=O)C(=O)N1,-1.215419436,-0.754797392,-1.115845751,-2.114063181,
15531220,H2C6N1Cl1F4,0.587894897,C1(=C(C(=C(C(=C1Cl)F)F)F)F)N,-4.464921915,-5.243643215,-4.731110769,-2.112665202,
22749538,H11C9N3O4,-2.904130261,CCCNC1=C(C=CC(=C1)[N+](=O)[O-])[N+](=O)[O-],-1.155893362,-1.222905282,-1.572073574,-2.110543833,
9624,C1Br1Cl2F1,-1.656450818,C(F)(Cl)(Cl)Br,-2.756074342,-1.752939342,-3.149551583,-2.104652954,
19961389,H1C4F7,0.927500233,C1(C(C(C1(F)F)(F)F)(F)F)F,-4.903751674,-4.983231749,-5.503016523,-2.101249875,
6101843,P2H4O8,0.233524878,OOP(=O)(O)OP(=O)(O)O,-4.066293208,-4.551675314,-4.657181537,-2.095762571,
2778877,C3Br1F5,-0.083932078,C(=C(F)F)(C(F)(F)F)Br,-4.403944926,-3.45469544,-4.437834309,-2.091378485,
78059,Si1H9C3S1Cl1O3,-1.51617955,C[Si](C)(C)OS(=O)(=O)Cl,-2.645168059,-2.315733674,-3.014979445,-2.087403305,
21507501,H3C6S1N1F4,0.488227862,C1(=C(C(=C(C(=C1S)F)F)F)F)N,-4.476862106,-4.71213155,-4.758730081,-2.080506692,
16206438,H2C8O2F4,0.189228116,C1=COC2=C(O1)C(=C(C(=C2F)F)F)F,-3.897580724,-6.254527739,-2.890321585,-2.079124283,
