CID,Name,B3LYPLUMO,SMILES,Minimum Adsorption energy (100),Minimum Adsorption energy (110),Minimum Adsorption energy (111),Optimization score,dissociated
13518,H2C6O2F12,-0.296736468,C(C(C(F)(F)F)(C(F)(F)F)O)(C(F)(F)F)(C(F)(F)F)O,-6.067183797,-5.740904376,-5.131463919,-2.674890448,TRUE
12757724,H4C3O1F4,1.050842561,CC(C(O)(F)F)(F)F,-4.424835829,-3.884733951,-4.32626429,-2.631393626,TRUE
2785276,P1H2C2O3F5,-0.602824214,C(C(F)(F)P(=O)(O)O)(F)(F)F,-5.471912221,-5.47478084,-6.62868487,-2.627817548,TRUE
21872011,H6C6F6,-0.563073185,CC1(C(C(C1(F)F)(F)F)(F)F)C,-6.537755164,-5.467889919,-5.24376355,-2.593364846,TRUE
2760820,Si1H9C5F5,1.042891187,C[Si](C)(C)C(C(F)(F)F)(F)F,-5.591682675,-3.234504002,-3.604639577,-2.593249969,TRUE
62947716,H5C4N2F7,0.828233291,C(C(C(C(F)(F)F)(F)F)(F)F)NN,-5.026747053,-3.12112368,-4.926672963,-2.593207262,TRUE
21731879,H4C7F8,-0.245060568,C1C2(CC(C2(F)F)(F)F)C(C1(F)F)(F)F,-5.648905542,-5.036945729,-5.489339765,-2.573334889,TRUE
21516817,H14C10F4,1.428482452,CC12CC(CC1(CC(C2)(F)F)C)(F)F,-3.551716563,-3.85336243,-3.70642664,-2.566158832,TRUE
63027603,H10C7N2O1F4,-0.165557049,C(COCC(C(F)F)(F)F)C(C#N)N,-3.853865198,-5.617730814,-6.384272045,-2.559866152,TRUE
136358,H3C1F1,3.1179253,[2H]C([2H])([2H])F,-2.042677997,-0.879273226,-2.900741681,-2.529411468,TRUE
23318178,C4O2F6,-0.121829602,C1(=C(OC(O1)(C(F)(F)F)F)F)F,-5.631980537,-5.398954043,-4.51062407,-2.529344974,TRUE
62598694,H15C8N1O2F4,1.384755005,COCCNCCOCC(C(F)F)(F)F,-2.67442009,-2.726585917,-5.605416912,-2.526781323,TRUE
62370919,H13C8N1O1F4,1.40463125,C1CNCC1COCC(C(F)F)(F)F,-3.906579282,-3.27676338,-3.756130061,-2.525561079,TRUE
53691355,H3C4F5,-1.020216595,CC(C(=C(F)F)F)(F)F,-6.017635939,-6.145855994,-5.85941019,-2.493708723,TRUE
71368596,H5C4O1F5,1.360903803,COC(C(F)F)(C(F)F)F,-4.178448851,-3.008573901,-3.471190411,-2.456820762,TRUE
54029259,H11C6N1,2.557427169,CC1(C2CN1C2)C,-2.394504926,-2.096476427,-2.218347243,-2.396935017,TRUE
20755636,H11C7F5,1.400656294,CC(C)(C)CC(C(F)(F)F)(F)F,-4.176171704,-3.250666679,-2.752782544,-2.396931635,TRUE
13459582,H4C4O1F4,1.543762044,C1CC(OC1(F)F)(F)F,-3.44296776,-2.743016834,-3.438797685,-2.376011402,TRUE
137729,H2C4N1F9,1.054817518,C(C(F)(F)F)(C(F)(F)F)(C(F)(F)F)N,-4.240291027,-3.281018558,-3.527638521,-2.36890011,TRUE
21265086,H6C5O2F4,2.028731613,CC1(OC(C(O1)(F)F)(F)F)C,-2.975439091,-2.292327888,-2.78573594,-2.356616293,TRUE
2782456,H3C3N1O1F6,1.297301572,C(C(F)(F)F)(C(F)(F)F)(N)O,-3.630938848,-2.593289232,-3.995700096,-2.351972149,TRUE
5012073,H2C2O2F4,0.860034407,C(C(O)(F)F)(O)(F)F,-3.848881806,-3.18401917,-4.429539758,-2.340423992,TRUE
16727076,B1H9C3N1O1F3,0.311462607,[B-](O[N+](C)(C)C)(F)(F)F,-4.605921839,-4.033945068,-4.409703418,-2.330659691,TRUE
9868,H3C2F3,3.141775041,CC(F)(F)F,-1.645820934,-0.612049243,-2.201218765,-2.314069011,TRUE
71358918,P1H3S1N2F2,-0.078103616,NNP(=S)(F)F,-5.299497574,-3.436007652,-5.325940293,-2.304522445,TRUE
40677,H6C1S1O3,-0.94866299,CS(O)(O)O,-5.269151868,-4.716512866,-6.662535338,-2.300368517,TRUE
